incident_id,date,time,activity_type,location_type,description,severity,risk_score,risk_level,weather,shift,ppe_compliance_pct,previous_incidents_30d,crew_size
INC-0149,2024-07-21,10:30,Lifting,Warehouse,Exclusion zone around lift not maintained.,Moderate,31.2,MEDIUM,Rain,Day,85,0,3
INC-0163,2024-09-12,11:27,Welding,Building Site,Inadequate ventilation observed during welding task.,Near Miss,48.5,HIGH,Windy,Day,63,1,9
INC-0322,2024-10-30,13:52,Confined Space,Excavation Area,Emergency retrieval system not set up before entry.,Major,71.8,CRITICAL,Adverse,Day,70,0,2
INC-0310,2024-04-15,14:41,Housekeeping,Warehouse,Spilled material not cleaned up promptly.,Near Miss,0.7,LOW,Clear,Day,93,0,8
INC-0406,2024-04-07,21:50,Lifting,Loading Area,Exclusion zone around lift not maintained.,Moderate,41.1,MEDIUM,Clear,Night,75,0,7
INC-0311,2025-02-18,19:46,Confined Space,Electrical Room,Ventilation equipment not in place for confined space entry.,Near Miss,77.8,CRITICAL,Clear,Night,69,0,9
INC-0160,2025-02-24,16:12,Excavation,Road/Access Area,No safe access/egress ladder provided in trench.,Major,50.9,HIGH,Clear,Day,56,0,5
INC-0006,2024-09-07,20:06,Vehicle Movement,Road/Access Area,Vehicle observed exceeding site speed limit.,Near Miss,25.5,LOW,Clear,Night,89,1,5
INC-0182,2024-04-28,14:25,Material Handling,Loading Area,Stacked materials observed in an unstable configuration.,Near Miss,4.4,LOW,Clear,Day,96,0,6
INC-0200,2024-08-13,11:01,Scaffolding,Scaffolding Area,"Scaffold base observed on uneven, unstable ground.",Near Miss,44.3,MEDIUM,Rain,Day,83,0,4
INC-0442,2024-07-01,20:02,Confined Space,Excavation Area,Confined space entry without atmospheric testing.,Moderate,57.6,HIGH,Adverse,Night,86,0,5
INC-0317,2024-07-30,13:09,Material Handling,Warehouse,Improper storage of materials near a walkway.,Near Miss,37.8,MEDIUM,Clear,Day,67,0,7
INC-0012,2025-02-17,10:37,Lifting,Building Site,Improper lifting zone setup observed.,Minor,29.3,MEDIUM,Clear,Day,83,0,1
INC-0260,2025-06-06,23:34,Lifting,Building Site,Rigging inspection not completed before lift.,Major,52.8,HIGH,Clear,Night,100,2,6
INC-0475,2025-02-12,11:29,Welding,Warehouse,Fire watch not posted during hot work.,Minor,34.3,MEDIUM,Windy,Day,91,1,3
