incident_id,date,time,activity_type,location_type,description,severity,risk_score,risk_level,weather,shift,ppe_compliance_pct,previous_incidents_30d,crew_size
INC-0042,2024-01-03,18:48,Electrical Work,Electrical Room,Damaged electrical cable observed.,Moderate,62.8,HIGH,Adverse,Day,74,0,5
INC-0076,2024-01-06,07:06,Electrical Work,Electrical Room,Damaged electrical cable observed.,Near Miss,43.4,MEDIUM,Rain,Day,88,0,6
INC-0480,2024-01-06,06:52,Working at Height,Roof,Fall arrest harness not properly anchored.,Near Miss,36.8,MEDIUM,Rain,Day,93,1,6
INC-0210,2024-01-08,09:02,Electrical Work,Electrical Room,Live electrical panel left unlocked and unattended.,Near Miss,44.7,MEDIUM,Clear,Day,75,0,8
INC-0419,2024-01-08,16:13,Working at Height,Roof,Fall arrest harness not properly anchored.,Minor,74.1,CRITICAL,Rain,Day,65,0,8
INC-0068,2024-01-10,17:20,Electrical Work,Building Site,Improper lockout/tagout procedure observed.,Minor,20.9,LOW,Clear,Day,100,0,7
INC-0082,2024-01-10,17:52,Lifting,Loading Area,Improper lifting zone setup observed.,Near Miss,31.0,MEDIUM,Clear,Day,87,0,1
INC-0385,2024-01-11,21:54,Lifting,Loading Area,Improper lifting zone setup observed.,Moderate,35.2,MEDIUM,Clear,Night,75,0,11
INC-0106,2024-01-13,18:36,Confined Space,Excavation Area,Ventilation equipment not in place for confined space entry.,Moderate,44.3,MEDIUM,Rain,Day,97,0,4
INC-0173,2024-01-15,07:38,Confined Space,Electrical Room,No standby attendant present during confined space work.,Moderate,41.1,MEDIUM,Clear,Day,73,0,1
INC-0254,2024-01-17,07:44,Confined Space,Electrical Room,Emergency retrieval system not set up before entry.,Moderate,49.0,HIGH,Clear,Day,88,0,9
INC-0493,2024-01-17,16:04,Working at Height,Building Site,Worker observed near roof edge without guardrail.,Minor,37.8,MEDIUM,Clear,Day,79,0,8
INC-0420,2024-01-18,15:04,Material Handling,Loading Area,Obstructed walkway due to stored materials.,Moderate,32.7,MEDIUM,Rain,Day,85,0,2
INC-0226,2024-01-20,08:51,Vehicle Movement,Loading Area,Vehicle reversing without a spotter present.,Near Miss,47.1,MEDIUM,Rain,Day,81,1,2
INC-0142,2024-01-20,20:58,Lifting,Loading Area,Improper lifting zone setup observed.,Minor,68.2,CRITICAL,Clear,Night,66,2,10
INC-0137,2024-01-20,21:57,Scaffolding,Scaffolding Area,Missing guardrail on scaffold platform.,Major,42.3,MEDIUM,Rain,Night,76,0,7
INC-0063,2024-01-21,10:06,Working at Height,Scaffolding Area,Unprotected edge observed during elevated work.,Near Miss,53.2,HIGH,Clear,Day,70,2,8
INC-0228,2024-01-22,17:00,Scaffolding,Scaffolding Area,"Scaffold base observed on uneven, unstable ground.",Near Miss,44.9,MEDIUM,Windy,Day,59,0,7
INC-0315,2024-01-22,15:00,Vehicle Movement,Loading Area,Pedestrian and vehicle routes not segregated.,Minor,59.5,HIGH,Windy,Day,100,3,2
INC-0101,2024-01-22,15:44,Working at Height,Building Site,Worker observed near roof edge without guardrail.,Moderate,40.2,MEDIUM,Windy,Day,83,0,7
INC-0279,2024-01-22,12:16,Welding,Building Site,Inadequate ventilation observed during welding task.,Minor,35.2,MEDIUM,Rain,Day,72,0,8
INC-0381,2024-01-22,10:40,Electrical Work,Building Site,Exposed wiring near a wet work area.,Near Miss,24.1,LOW,Clear,Day,93,0,9
INC-0072,2024-01-23,18:27,Excavation,Road/Access Area,Excavation walls showing signs of instability.,Near Miss,32.8,MEDIUM,Clear,Day,94,2,3
INC-0307,2024-01-26,22:15,Confined Space,Electrical Room,Emergency retrieval system not set up before entry.,Moderate,99.7,CRITICAL,Adverse,Night,49,3,10
INC-0367,2024-01-26,15:53,Scaffolding,Building Site,"Scaffold base observed on uneven, unstable ground.",Minor,31.8,MEDIUM,Clear,Day,79,0,3
INC-0328,2024-01-26,12:35,Lifting,Loading Area,Load exceeded rated capacity of lifting equipment.,Near Miss,57.8,HIGH,Windy,Day,79,3,2
INC-0064,2024-01-27,20:51,Housekeeping,Building Site,Debris accumulation observed in walkway.,Minor,40.7,MEDIUM,Rain,Night,67,1,8
INC-0470,2024-01-27,13:12,Electrical Work,Building Site,Damaged electrical cable observed.,Moderate,55.7,HIGH,Clear,Day,64,1,7
INC-0460,2024-01-29,08:10,Lifting,Loading Area,Rigging inspection not completed before lift.,Moderate,54.0,HIGH,Clear,Day,62,0,6
INC-0113,2024-01-29,20:47,Lifting,Loading Area,Improper lifting zone setup observed.,Minor,34.6,MEDIUM,Rain,Night,98,0,7
INC-0432,2024-01-29,23:57,Electrical Work,Building Site,Improper lockout/tagout procedure observed.,Minor,40.4,MEDIUM,Clear,Night,70,0,5
INC-0051,2024-01-31,12:10,Scaffolding,Scaffolding Area,Incomplete scaffold tagging system observed.,Near Miss,44.5,MEDIUM,Adverse,Day,89,0,9
INC-0429,2024-02-02,10:03,Vehicle Movement,Loading Area,Vehicle observed exceeding site speed limit.,Minor,41.7,MEDIUM,Adverse,Day,100,0,15
INC-0278,2024-02-03,09:14,Material Handling,Loading Area,Obstructed walkway due to stored materials.,Near Miss,60.5,HIGH,Clear,Day,76,3,10
